Distance,K-value
0.000000,0.000000
325.287318,488646.686613
650.574636,1172752.047871
975.861954,2150045.421097
1301.149272,5033060.872115
1626.436590,9235422.376987
1951.723909,12753678.520601
2277.011227,18275386.079329
2602.298545,24236875.656008
2927.585863,31126793.937252
3252.873181,37821253.543851
3578.160499,45346412.517693
3903.447817,51845413.449646
4228.735135,59517166.429472
4554.022453,67140054.740635
4879.309771,75007266.395106
5204.597090,82727884.043592
5529.884408,92061035.757902
5855.171726,100954405.454260
6180.459044,110043233.825263
6505.746362,119180926.864927
6831.033680,127048138.519397
7156.320998,135990372.884417
7481.608316,143955313.876210
7806.895634,153874841.614455
8132.182952,163989828.027345
8457.470271,175668483.837398
8782.757589,183144778.142578
9108.044907,190718801.785080
9433.332225,199367848.138131
9758.619543,208847593.858425
10083.906861,219109174.277299
10409.194179,229126431.352867
10734.481497,237922071.711902
11059.768815,247450682.100857
11385.056133,258445232.549651
11710.343452,268022707.607267
12035.630770,277062671.309609
12360.918088,285467394.319354
12686.205406,295484651.394922
13011.492724,304915532.446554
13336.780042,313027067.444331
13662.067360,320649955.755495
13987.354678,328028520.723352
14312.641996,335798003.040500
14637.929314,343127703.339696
14963.216633,351727885.024086
15288.503951,359399638.003911
15613.791269,365752044.929881
15939.078587,371860128.512544
16264.365905,376257948.692062
16589.653223,382952408.298661
16914.940541,387008175.797549
17240.227859,393556041.398164
17565.515177,396683380.192488
17890.802495,402302817.088538
18216.089814,405185832.539555
18541.377132,407971118.653250
18866.664450,410902998.772928
19191.951768,414616713.591187
19517.239086,417841781.722834
19842.526404,421017985.185819
20167.813722,424194188.648804
20493.101040,427126068.768482
20818.388358,429618166.870209
21143.675676,432598911.658548
21468.962994,434846686.416968
21794.250313,438169483.885937
22119.537631,440612717.319003
22444.824949,441345687.348922
22770.112267,442371845.390810
23095.399585,443007086.083407
23420.686903,444717349.486552
23745.974221,445205996.173165
24071.261539,445645778.191117
24396.548857,446574206.895682
24721.836175,447062853.582295
25047.123494,447698094.274892
25372.410812,447893552.949537
25697.698130,448382199.636150
26022.985448,449261763.672054
26348.272766,449652681.021344
26673.560084,449994733.701973
26998.847402,450385651.051264
27324.134720,450825433.069216
27649.422038,451020891.743861
27974.709356,451020891.743861
28299.996675,451216350.418506
28625.283993,451216350.418506
28950.571311,451216350.418506
29275.858629,451216350.418506
29601.145947,451509538.430474
29926.433265,451509538.430474
30251.720583,451607267.767797
30577.007901,451900455.779764
30902.295219,451900455.779764
31227.582537,451998185.117087
31552.869856,452193643.791732
31878.157174,452486831.803700
32203.444492,452486831.803700
