Distance,L-value
0.000000,0.000000
325.287318,394.386956
650.574636,610.981645
975.861954,827.273058
1301.149272,1265.730237
1626.436590,1714.562990
1951.723909,2014.850356
2277.011227,2411.894704
2602.298545,2777.559564
2927.585863,3147.692208
3252.873181,3469.708765
3578.160499,3799.238267
3903.447817,4062.377094
4228.735135,4352.574235
4554.022453,4622.915009
4879.309771,4886.261805
5204.597090,5131.579031
5529.884408,5413.311169
5855.171726,5668.755182
6180.459044,5918.433005
6505.746362,6159.258662
6831.033680,6359.298586
7156.320998,6579.291764
7481.608316,6769.224444
7806.895634,6998.562947
8132.182952,7224.927923
8457.470271,7477.768056
8782.757589,7635.233689
9108.044907,7791.513338
9433.332225,7966.226023
9758.619543,8153.419763
10083.906861,8351.324226
10409.194179,8540.094161
10734.481497,8702.467901
11059.768815,8875.021040
11385.056133,9070.042589
11710.343452,9236.572825
12035.630770,9391.048257
12360.918088,9532.423291
12686.205406,9698.231063
13011.492724,9851.783008
13336.780042,9981.964246
13662.067360,10102.774417
13987.354678,10218.352171
14312.641996,10338.656786
14637.929314,10450.882269
14963.216633,10581.042626
15288.503951,10695.814970
15613.791269,10789.925477
15939.078587,10879.648670
16264.365905,10943.793895
16589.653223,11040.721783
16914.940541,11099.032768
17240.227859,11192.532276
17565.515177,11236.914238
17890.802495,11316.225692
18216.089814,11356.700940
18541.377132,11395.667613
18866.664450,11436.541731
19191.951768,11488.106846
19517.239086,11532.700030
19842.526404,11576.449669
20167.813722,11620.034592
20493.101040,11660.122226
20818.388358,11694.088669
21143.675676,11734.586074
21468.962994,11765.032905
21794.250313,11809.897482
22119.537631,11842.777711
22444.824949,11852.623993
22770.112267,11866.395062
23095.399585,11874.912006
23420.686903,11897.811937
23745.974221,11904.346684
24071.261539,11910.224890
24396.548857,11922.624919
24721.836175,11929.146073
25047.123494,11937.618248
25372.410812,11940.223861
25697.698130,11946.735409
26022.985448,11958.447260
26348.272766,11963.648846
26673.560084,11968.198380
26998.847402,11973.395731
27324.134720,11979.240055
27649.422038,11981.836617
27974.709356,11981.836617
28299.996675,11984.432617
28625.283993,11984.432617
28950.571311,11984.432617
29275.858629,11984.432617
29601.145947,11988.325562
29926.433265,11988.325562
30251.720583,11989.622930
30577.007901,11993.514191
30902.295219,11993.514191
31227.582537,11994.810997
31552.869856,11997.404190
31878.157174,12001.292927
32203.444492,12001.292927
